AcctFundCode,AcctFundDescr,AcctResourceCode,AcctResourceDescr,AcctLocationCode,AcctLocationDescr,AcctObjectCode,AcctObjectDescr,AcctFunctionCode,AcctFunctionDescr,Budget,Spent,Encumbered,Balance
10,General Fund,0,General Purpose-unrestricted,101,Allendale,3342,PARS Classified,1000,Instruction,304.13,303.04,0,1.09
10,General Fund,0,General Purpose-unrestricted,101,Allendale,3401,Health & Welfare Certificated,1000,Instruction,168115.81,168115.81,0,0
10,General Fund,0,General Purpose-unrestricted,101,Allendale,3401,Health & Welfare Certificated,2710,"Sch Admin,principals",16030.13,16030.13,0,0
10,General Fund,0,General Purpose-unrestricted,101,Allendale,3402,Health & Welfare Classified,2490,Other Instructional Resources,6425.9,6425.9,0,0
10,General Fund,0,General Purpose-unrestricted,101,Allendale,3402,Health & Welfare Classified,2700,Schl Administration,11111.8,11111.8,0,0
10,General Fund,0,General Purpose-unrestricted,101,Allendale,3501,St Unemploy Ins Certificated,1000,Instruction,446.14,442.96,0,3.18
10,General Fund,0,General Purpose-unrestricted,101,Allendale,3501,St Unemploy Ins Certificated,2710,"Sch Admin,principals",57.12,57.12,0,0
10,General Fund,0,General Purpose-unrestricted,101,Allendale,3502,St Unemploy Ins Classified,1000,Instruction,3.96,4.02,0,-0.06
10,General Fund,0,General Purpose-unrestricted,101,Allendale,3502,St Unemploy Ins Classified,2490,Other Instructional Resources,8.06,8.21,0,-0.15
10,General Fund,0,General Purpose-unrestricted,101,Allendale,3502,St Unemploy Ins Classified,2700,Schl Administration,20.79,21.15,0,-0.36
10,General Fund,0,General Purpose-unrestricted,101,Allendale,3601,Workers Comp Certificated,1000,Instruction,53511.23,53147.99,0,363.24
10,General Fund,0,General Purpose-unrestricted,101,Allendale,3601,Workers Comp Certificated,2710,"Sch Admin,principals",6859,6858.72,0,0.28
10,General Fund,0,General Purpose-unrestricted,101,Allendale,3602,Workers Comp Classified,1000,Instruction,486.5,493.43,0,-6.93
10,General Fund,0,General Purpose-unrestricted,101,Allendale,3602,Workers Comp Classified,2490,Other Instructional Resources,966.34,983.78,0,-17.44
10,General Fund,0,General Purpose-unrestricted,101,Allendale,3602,Workers Comp Classified,2700,Schl Administration,2495.88,2539.28,0,-43.4
10,General Fund,0,General Purpose-unrestricted,101,Allendale,3901,Other Benefits Certificated,1000,Instruction,1649.92,1606.5,0,43.42
10,General Fund,0,General Purpose-unrestricted,101,Allendale,3901,Other Benefits Certificated,2710,"Sch Admin,principals",198.72,198.72,0,0
10,General Fund,0,General Purpose-unrestricted,101,Allendale,3902,Other Benefits Classified,1000,Instruction,51.03,51.03,0,0
10,General Fund,0,General Purpose-unrestricted,101,Allendale,3902,Other Benefits Classified,2490,Other Instructional Resources,1183.98,1183.76,0,0.22
10,General Fund,0,General Purpose-unrestricted,101,Allendale,3902,Other Benefits Classified,2700,Schl Administration,84.4,84.4,0,0
10,General Fund,0,General Purpose-unrestricted,101,Allendale,4310,School Office Supplies,1000,Instruction,38100.8,38100.8,0,0
10,General Fund,0,General Purpose-unrestricted,101,Allendale,4311,Meeting Refreshments,1000,Instruction,304.05,729.05,0,-425
10,General Fund,0,General Purpose-unrestricted,101,Allendale,4315,Computer Supplies,1000,Instruction,8716.13,0,0,8716.13
10,General Fund,0,General Purpose-unrestricted,101,Allendale,5200,Travel And Conferences,1000,Instruction,4578.42,4578.42,0,0
10,General Fund,0,General Purpose-unrestricted,101,Allendale,5515,Disposal Services,8213,Utilities,7997,11188.2,0,-3191.2
10,General Fund,0,General Purpose-unrestricted,101,Allendale,5517,Recycling,8213,Utilities,3875,5412.92,0,-1537.92
10,General Fund,0,General Purpose-unrestricted,101,Allendale,5520,Gas-heating-electricity,8213,Utilities,37118,35528.04,0,1589.96
10,General Fund,0,General Purpose-unrestricted,101,Allendale,5555,Water/sewage,8213,Utilities,13226,24309.1,0,-11083.1
10,General Fund,0,General Purpose-unrestricted,101,Allendale,5610,Equip Maintenance Agreemt,1000,Instruction,16800.6,16800.6,0,0
10,General Fund,0,General Purpose-unrestricted,101,Allendale,5716,Interpgm - Duplication Service,1000,Instruction,100,0,0,100
10,General Fund,0,General Purpose-unrestricted,101,Allendale,5721,Interprogram - Custodial,8212,Custodians,146370,146370,0,0
10,General Fund,0,General Purpose-unrestricted,102,Bella Vista,1105,Teachers Salaries,1000,Instruction,1111706.3,1088092.7,0,23613.6
10,General Fund,0,General Purpose-unrestricted,102,Bella Vista,1120,Teachers Salaries Stipends,1000,Instruction,979.8,0,0,979.8
10,General Fund,0,General Purpose-unrestricted,102,Bella Vista,1150,Teachers Substitutes,1000,Instruction,33572,40196.08,0,-6624.08
10,General Fund,0,General Purpose-unrestricted,102,Bella Vista,1305,"Supv, Admin, Instr Coaches Sal",2700,Schl Administration,114400.32,114400.32,0,0
10,General Fund,0,General Purpose-unrestricted,102,Bella Vista,2205,Classsuppt Salaries,2420,"Library, Media & Technology",27309.74,27836.17,0,-526.43
10,General Fund,0,General Purpose-unrestricted,102,Bella Vista,2250,Classsuppt Substitutes,2420,"Library, Media & Technology",267.74,267.74,0,0
10,General Fund,0,General Purpose-unrestricted,102,Bella Vista,2405,Clerical Salaries,2700,Schl Administration,53821.2,54789.98,0,-968.78
10,General Fund,0,General Purpose-unrestricted,102,Bella Vista,2425,Clerical Salaries Overtime,2700,Schl Administration,2174.2,2181.7,0,-7.5
10,General Fund,0,General Purpose-unrestricted,102,Bella Vista,2905,Otherclass Salaries,1000,Instruction,9385.62,7498.62,0,1887
10,General Fund,0,General Purpose-unrestricted,102,Bella Vista,2905,Otherclass Salaries,2700,Schl Administration,10022.2,10444.25,0,-422.05
10,General Fund,0,General Purpose-unrestricted,102,Bella Vista,2928,Otherclass Salaries Hourly,1000,Instruction,17973.31,19284.03,0,-1310.72
10,General Fund,0,General Purpose-unrestricted,102,Bella Vista,3101,STRS Certificated,1000,Instruction,186389.02,179667.88,0,6721.14
10,General Fund,0,General Purpose-unrestricted,102,Bella Vista,3101,STRS Certificated,2700,Schl Administration,18202.92,18202.92,0,0
10,General Fund,0,General Purpose-unrestricted,102,Bella Vista,3102,STRS Classified,1000,Instruction,3033,1500,0,1533
10,General Fund,0,General Purpose-unrestricted,102,Bella Vista,3102,STRS Classified,2700,Schl Administration,116.95,0,0,116.95
10,General Fund,0,General Purpose-unrestricted,102,Bella Vista,3201,PERS Certificated,1000,Instruction,15,13.02,0,1.98
10,General Fund,0,General Purpose-unrestricted,102,Bella Vista,3202,PERS Classified,1000,Instruction,898,289.32,0,608.68
10,General Fund,0,General Purpose-unrestricted,102,Bella Vista,3202,PERS Classified,2420,"Library, Media & Technology",4844.16,4939.24,0,-95.08
10,General Fund,0,General Purpose-unrestricted,102,Bella Vista,3202,PERS Classified,2700,Schl Administration,9721.2,9928.28,0,-207.08
10,General Fund,0,General Purpose-unrestricted,102,Bella Vista,3301,Social Security Certificated,1000,Instruction,87,134.08,0,-47.08
10,General Fund,0,General Purpose-unrestricted,102,Bella Vista,3302,Social Security Classified,1000,Instruction,561.89,423.59,0,138.3
10,General Fund,0,General Purpose-unrestricted,102,Bella Vista,3302,Social Security Classified,2420,"Library, Media & Technology",1666.5,1699.14,0,-32.64
10,General Fund,0,General Purpose-unrestricted,102,Bella Vista,3302,Social Security Classified,2700,Schl Administration,3472.17,3542.89,0,-70.72
10,General Fund,0,General Purpose-unrestricted,102,Bella Vista,3321,Medicare Certificated,1000,Instruction,16629.94,16215.44,0,414.5
10,General Fund,0,General Purpose-unrestricted,102,Bella Vista,3321,Medicare Certificated,2700,Schl Administration,1658.86,1658.86,0,0
10,General Fund,0,General Purpose-unrestricted,102,Bella Vista,3322,Medicare Classified,1000,Instruction,518.3,410.09,0,108.21
10,General Fund,0,General Purpose-unrestricted,102,Bella Vista,3322,Medicare Classified,2420,"Library, Media & Technology",399.9,407.53,0,-7.63
10,General Fund,0,General Purpose-unrestricted,102,Bella Vista,3322,Medicare Classified,2700,Schl Administration,957.8,977.6,0,-19.8
10,General Fund,0,General Purpose-unrestricted,102,Bella Vista,3341,PARS Certificated,1000,Instruction,160,289.1,0,-129.1
10,General Fund,0,General Purpose-unrestricted,102,Bella Vista,3342,PARS Classified,1000,Instruction,912.73,944.34,0,-31.61
10,General Fund,0,General Purpose-unrestricted,102,Bella Vista,3342,PARS Classified,2420,"Library, Media & Technology",26.18,26.18,0,0
10,General Fund,0,General Purpose-unrestricted,102,Bella Vista,3342,PARS Classified,2700,Schl Administration,457.68,466.78,0,-9.1
10,General Fund,0,General Purpose-unrestricted,102,Bella Vista,3401,Health & Welfare Certificated,1000,Instruction,217809.38,217809.38,0,0
10,General Fund,0,General Purpose-unrestricted,102,Bella Vista,3401,Health & Welfare Certificated,2700,Schl Administration,22093.44,22093.44,0,0
10,General Fund,0,General Purpose-unrestricted,102,Bella Vista,3402,Health & Welfare Classified,1000,Instruction,2337.18,441.38,0,1895.8
10,General Fund,0,General Purpose-unrestricted,102,Bella Vista,3402,Health & Welfare Classified,2420,"Library, Media & Technology",9777.59,9777.59,0,0
10,General Fund,0,General Purpose-unrestricted,102,Bella Vista,3402,Health & Welfare Classified,2700,Schl Administration,7893.6,7893.6,0,0
10,General Fund,0,General Purpose-unrestricted,102,Bella Vista,3501,St Unemploy Ins Certificated,1000,Instruction,592.02,564.02,0,28
10,General Fund,0,General Purpose-unrestricted,102,Bella Vista,3501,St Unemploy Ins Certificated,2700,Schl Administration,57.21,57.21,0,0
10,General Fund,0,General Purpose-unrestricted,102,Bella Vista,3502,St Unemploy Ins Classified,1000,Instruction,35.97,14.16,0,21.81
10,General Fund,0,General Purpose-unrestricted,102,Bella Vista,3502,St Unemploy Ins Classified,2420,"Library, Media & Technology",13.64,14.12,0,-0.48
10,General Fund,0,General Purpose-unrestricted,102,Bella Vista,3502,St Unemploy Ins Classified,2700,Schl Administration,34.01,33.8,0,0.21
10,General Fund,0,General Purpose-unrestricted,102,Bella Vista,3601,Workers Comp Certificated,1000,Instruction,69028.5,67675.11,0,1353.39
10,General Fund,0,General Purpose-unrestricted,102,Bella Vista,3601,Workers Comp Certificated,2700,Schl Administration,6864.04,6864.04,0,0
10,General Fund,0,General Purpose-unrestricted,102,Bella Vista,3602,Workers Comp Classified,1000,Instruction,2143.25,1696.93,0,446.32
10,General Fund,0,General Purpose-unrestricted,102,Bella Vista,3602,Workers Comp Classified,2420,"Library, Media & Technology",1654.69,1686.28,0,-31.59
10,General Fund,0,General Purpose-unrestricted,102,Bella Vista,3602,Workers Comp Classified,2700,Schl Administration,3961.6,4044.95,0,-83.35
10,General Fund,0,General Purpose-unrestricted,102,Bella Vista,3701,Post Employment Benefits-Cert,1000,Instruction,37,0,0,37
10,General Fund,0,General Purpose-unrestricted,102,Bella Vista,3702,Post Employment Benefits-Clas,2700,Schl Administration,20,0,0,20
10,General Fund,0,General Purpose-unrestricted,102,Bella Vista,3901,Other Benefits Certificated,1000,Instruction,2134.67,2076.41,0,58.26
10,General Fund,0,General Purpose-unrestricted,102,Bella Vista,3901,Other Benefits Certificated,2700,Schl Administration,195.12,195.12,0,0
10,General Fund,0,General Purpose-unrestricted,102,Bella Vista,3902,Other Benefits Classified,1000,Instruction,424.6,26.1,0,398.5
10,General Fund,0,General Purpose-unrestricted,102,Bella Vista,3902,Other Benefits Classified,2420,"Library, Media & Technology",529.35,529.35,0,0
10,General Fund,0,General Purpose-unrestricted,102,Bella Vista,3902,Other Benefits Classified,2700,Schl Administration,144.4,144.4,0,0
10,General Fund,0,General Purpose-unrestricted,102,Bella Vista,4304,Classroom Supplies,1000,Instruction,682.07,624.87,0,57.2
10,General Fund,0,General Purpose-unrestricted,102,Bella Vista,4310,School Office Supplies,1000,Instruction,30980.45,28616.62,0,2363.83
10,General Fund,0,General Purpose-unrestricted,102,Bella Vista,4311,Meeting Refreshments,1000,Instruction,202.9,202.9,0,0
10,General Fund,0,General Purpose-unrestricted,102,Bella Vista,5515,Disposal Services,8213,Utilities,5158,7247.38,0,-2089.38
10,General Fund,0,General Purpose-unrestricted,102,Bella Vista,5517,Recycling,8213,Utilities,6497,4913.51,0,1583.49
10,General Fund,0,General Purpose-unrestricted,102,Bella Vista,5520,Gas-heating-electricity,8212,Custodians,22508,40797.06,0,-18289.06
10,General Fund,0,General Purpose-unrestricted,102,Bella Vista,5555,Water/sewage,8212,Custodians,10460,25591.64,0,-15131.64
10,General Fund,0,General Purpose-unrestricted,102,Bella Vista,5610,Equip Maintenance Agreemt,1000,Instruction,6510.66,6510.66,0,0
10,General Fund,0,General Purpose-unrestricted,102,Bella Vista,5716,Interpgm - Duplication Service,1000,Instruction,100,100,0,0
10,General Fund,0,General Purpose-unrestricted,102,Bella Vista,5720,Interpgm - Maint Work Orders,1000,Instruction,25,0,0,25
10,General Fund,0,General Purpose-unrestricted,102,Bella Vista,5721,Interprogram - Custodial,8212,Custodians,146370,146370,0,0
10,General Fund,0,General Purpose-unrestricted,102,Bella Vista,5846,Licensing Agreements,1000,Instruction,3730.61,3649.61,0,81
10,General Fund,0,General Purpose-unrestricted,103,Brookfield,1105,Teachers Salaries,1000,Instruction,480109.17,472924.5,0,7184.67
10,General Fund,0,General Purpose-unrestricted,103,Brookfield,1119,Teacher On Spec Assin School,1000,Instruction,-18608.79,18867.76,0,-37476.55
10,General Fund,0,General Purpose-unrestricted,103,Brookfield,1150,Teachers Substitutes,1000,Instruction,21417.06,39699.08,0,-18282.02
10,General Fund,0,General Purpose-unrestricted,103,Brookfield,1305,"Supv, Admin, Instr Coaches Sal",2710,"Sch Admin,principals",118925,118924.8,0,0.2
10,General Fund,0,General Purpose-unrestricted,103,Brookfield,2205,Classsuppt Salaries,2490,Other Instructional Resources,13680.96,13919.88,0,-238.92
10,General Fund,0,General Purpose-unrestricted,103,Brookfield,2405,Clerical Salaries,2700,Schl Administration,48798.2,49676.57,0,-878.37
10,General Fund,0,General Purpose-unrestricted,103,Brookfield,2905,Otherclass Salaries,1000,Instruction,9872.4,10050.1,0,-177.7
10,General Fund,0,General Purpose-unrestricted,103,Brookfield,3101,STRS Certificated,1000,Instruction,84350.87,81271.17,0,3079.7
10,General Fund,0,General Purpose-unrestricted,103,Brookfield,3101,STRS Certificated,2710,"Sch Admin,principals",19271.49,19271.49,0,0
10,General Fund,0,General Purpose-unrestricted,103,Brookfield,3201,PERS Certificated,1000,Instruction,9.92,9.92,0,0
10,General Fund,0,General Purpose-unrestricted,103,Brookfield,3202,PERS Classified,1000,Instruction,0,32.1,0,-32.1
10,General Fund,0,General Purpose-unrestricted,103,Brookfield,3202,PERS Classified,2490,Other Instructional Resources,2471.09,2514.24,0,-43.15
10,General Fund,0,General Purpose-unrestricted,103,Brookfield,3202,PERS Classified,2700,Schl Administration,8814,8972.65,0,-158.65
10,General Fund,0,General Purpose-unrestricted,103,Brookfield,3301,Social Security Certificated,1000,Instruction,580.91,953.51,0,-372.6
10,General Fund,0,General Purpose-unrestricted,103,Brookfield,3302,Social Security Classified,1000,Instruction,0,11.02,0,-11.02
10,General Fund,0,General Purpose-unrestricted,103,Brookfield,3302,Social Security Classified,2490,Other Instructional Resources,848.21,863.02,0,-14.81
10,General Fund,0,General Purpose-unrestricted,103,Brookfield,3302,Social Security Classified,2700,Schl Administration,3025.4,3079.86,0,-54.46
10,General Fund,0,General Purpose-unrestricted,103,Brookfield,3321,Medicare Certificated,1000,Instruction,7845.48,7701.72,0,143.76
10,General Fund,0,General Purpose-unrestricted,103,Brookfield,3321,Medicare Certificated,2710,"Sch Admin,principals",1725,1724.4,0,0.6
10,General Fund,0,General Purpose-unrestricted,103,Brookfield,3322,Medicare Classified,1000,Instruction,144,145.78,0,-1.78
10,General Fund,0,General Purpose-unrestricted,103,Brookfield,3322,Medicare Classified,2490,Other Instructional Resources,199,201.85,0,-2.85
10,General Fund,0,General Purpose-unrestricted,103,Brookfield,3322,Medicare Classified,2700,Schl Administration,708,720.34,0,-12.34
10,General Fund,0,General Purpose-unrestricted,103,Brookfield,3341,PARS Certificated,1000,Instruction,355.8,478.37,0,-122.57
10,General Fund,0,General Purpose-unrestricted,103,Brookfield,3342,PARS Classified,1000,Instruction,371,370.2,0,0.8
10,General Fund,0,General Purpose-unrestricted,103,Brookfield,3401,Health & Welfare Certificated,1000,Instruction,70216.56,89518.36,0,-19301.8
10,General Fund,0,General Purpose-unrestricted,103,Brookfield,3401,Health & Welfare Certificated,2710,"Sch Admin,principals",9930.64,9930.64,0,0
10,General Fund,0,General Purpose-unrestricted,103,Brookfield,3402,Health & Welfare Classified,1000,Instruction,9373.3,9373.3,0,0
10,General Fund,0,General Purpose-unrestricted,103,Brookfield,3402,Health & Welfare Classified,2700,Schl Administration,22093.2,22093.2,0,0
10,General Fund,0,General Purpose-unrestricted,103,Brookfield,3501,St Unemploy Ins Certificated,1000,Instruction,270.97,265.99,0,4.98
10,General Fund,0,General Purpose-unrestricted,103,Brookfield,3501,St Unemploy Ins Certificated,2710,"Sch Admin,principals",59.52,59.52,0,0
10,General Fund,0,General Purpose-unrestricted,103,Brookfield,3502,St Unemploy Ins Classified,1000,Instruction,5,5.09,0,-0.09
10,General Fund,0,General Purpose-unrestricted,103,Brookfield,3502,St Unemploy Ins Classified,2490,Other Instructional Resources,6.87,6.99,0,-0.12
10,General Fund,0,General Purpose-unrestricted,103,Brookfield,3502,St Unemploy Ins Classified,2700,Schl Administration,24.4,24.84,0,-0.44
10,General Fund,0,General Purpose-unrestricted,103,Brookfield,3601,Workers Comp Certificated,1000,Instruction,32483.29,31899.02,0,584.27
10,General Fund,0,General Purpose-unrestricted,103,Brookfield,3601,Workers Comp Certificated,2710,"Sch Admin,principals",7136,7135.44,0,0.56
10,General Fund,0,General Purpose-unrestricted,103,Brookfield,3602,Workers Comp Classified,1000,Instruction,593,603.06,0,-10.06
10,General Fund,0,General Purpose-unrestricted,103,Brookfield,3602,Workers Comp Classified,2490,Other Instructional Resources,821,835.23,0,-14.23
10,General Fund,0,General Purpose-unrestricted,103,Brookfield,3602,Workers Comp Classified,2700,Schl Administration,2927.8,2980.5,0,-52.7
10,General Fund,0,General Purpose-unrestricted,103,Brookfield,3901,Other Benefits Certificated,1000,Instruction,889.38,852.66,0,36.72
10,General Fund,0,General Purpose-unrestricted,103,Brookfield,3901,Other Benefits Certificated,2710,"Sch Admin,principals",206,205.43,0,0.57
10,General Fund,0,General Purpose-unrestricted,103,Brookfield,3902,Other Benefits Classified,1000,Instruction,33.2,33.2,0,0
10,General Fund,0,General Purpose-unrestricted,103,Brookfield,3902,Other Benefits Classified,2490,Other Instructional Resources,36.43,36.43,0,0
10,General Fund,0,General Purpose-unrestricted,103,Brookfield,3902,Other Benefits Classified,2700,Schl Administration,104,104,0,0
10,General Fund,0,General Purpose-unrestricted,103,Brookfield,4304,Classroom Supplies,1000,Instruction,1500,1207.88,0,292.12
10,General Fund,0,General Purpose-unrestricted,103,Brookfield,4310,School Office Supplies,1000,Instruction,8991.74,6024.88,0,2966.86
10,General Fund,0,General Purpose-unrestricted,103,Brookfield,4410,"Equipment < $5,000",1000,Instruction,1635.26,1433.36,0,201.9
10,General Fund,0,General Purpose-unrestricted,103,Brookfield,5515,Disposal Services,8213,Utilities,10004,14222.04,0,-4218.04
10,General Fund,0,General Purpose-unrestricted,103,Brookfield,5517,Recycling,8213,Utilities,5153,5466.36,0,-313.36
10,General Fund,0,General Purpose-unrestricted,103,Brookfield,5520,Gas-heating-electricity,8213,Utilities,46619,45175.21,0,1443.79
10,General Fund,0,General Purpose-unrestricted,103,Brookfield,5555,Water/sewage,8213,Utilities,17923,33047.82,0,-15124.82
10,General Fund,0,General Purpose-unrestricted,103,Brookfield,5610,Equip Maintenance Agreemt,1000,Instruction,3200,2580.26,0,619.74
10,General Fund,0,General Purpose-unrestricted,103,Brookfield,5721,Interprogram - Custodial,8212,Custodians,182963,182963,0,0
10,General Fund,0,General Purpose-unrestricted,103,Brookfield,5730,Intrpgm-comm Srv Prg Mgr,1000,Instruction,24048,24048,0,0
10,General Fund,0,General Purpose-unrestricted,105,Burckhalter,1105,Teachers Salaries,1000,Instruction,611079.94,599284.89,0,11795.05
10,General Fund,0,General Purpose-unrestricted,105,Burckhalter,1150,Teachers Substitutes,1000,Instruction,22450.74,27922.52,0,-5471.78
10,General Fund,0,General Purpose-unrestricted,105,Burckhalter,1305,"Supv, Admin, Instr Coaches Sal",2710,"Sch Admin,principals",117333,117332.76,0,0.24
10,General Fund,0,General Purpose-unrestricted,105,Burckhalter,2205,Classsuppt Salaries,2490,Other Instructional Resources,8434.51,8529.55,0,-95.04
10,General Fund,0,General Purpose-unrestricted,105,Burckhalter,2220,Classsuppt Salaries Stipends,2490,Other Instructional Resources,3606.51,2135.18,0,1471.33
10,General Fund,0,General Purpose-unrestricted,105,Burckhalter,2405,Clerical Salaries,2700,Schl Administration,27015.27,28311.21,0,-1295.94
10,General Fund,0,General Purpose-unrestricted,105,Burckhalter,2905,Otherclass Salaries,1000,Instruction,12754.11,13011.43,0,-257.32
10,General Fund,0,General Purpose-unrestricted,105,Burckhalter,3101,STRS Certificated,1000,Instruction,89119.07,87477.52,0,1641.55
10,General Fund,0,General Purpose-unrestricted,105,Burckhalter,3101,STRS Certificated,2710,"Sch Admin,principals",19057.06,19057.06,0,0
10,General Fund,0,General Purpose-unrestricted,105,Burckhalter,3201,PERS Certificated,1000,Instruction,11644.1,11367.39,0,276.71
10,General Fund,0,General Purpose-unrestricted,105,Burckhalter,3202,PERS Classified,1000,Instruction,898,537.03,0,360.97
10,General Fund,0,General Purpose-unrestricted,105,Burckhalter,3202,PERS Classified,2490,Other Instructional Resources,2612.61,2945.07,0,-332.46
10,General Fund,0,General Purpose-unrestricted,105,Burckhalter,3202,PERS Classified,2700,Schl Administration,4879.27,4994.58,0,-115.31
10,General Fund,0,General Purpose-unrestricted,105,Burckhalter,3301,Social Security Certificated,1000,Instruction,4081.79,4009.71,0,72.08
10,General Fund,0,General Purpose-unrestricted,105,Burckhalter,3302,Social Security Classified,1000,Instruction,358,16.01,0,341.99
10,General Fund,0,General Purpose-unrestricted,105,Burckhalter,3302,Social Security Classified,2490,Other Instructional Resources,0,13.41,0,-13.41
10,General Fund,0,General Purpose-unrestricted,105,Burckhalter,3302,Social Security Classified,2700,Schl Administration,1674.86,1755.25,0,-80.39
10,General Fund,0,General Purpose-unrestricted,105,Burckhalter,3321,Medicare Certificated,1000,Instruction,9241.01,9094.58,0,146.43
10,General Fund,0,General Purpose-unrestricted,105,Burckhalter,3321,Medicare Certificated,2710,"Sch Admin,principals",1702,1701.36,0,0.64
10,General Fund,0,General Purpose-unrestricted,105,Burckhalter,3322,Medicare Classified,1000,Instruction,231,188.61,0,42.39
10,General Fund,0,General Purpose-unrestricted,105,Burckhalter,3322,Medicare Classified,2490,Other Instructional Resources,145.81,172.51,0,-26.7
10,General Fund,0,General Purpose-unrestricted,105,Burckhalter,3322,Medicare Classified,2700,Schl Administration,392,410.55,0,-18.55
10,General Fund,0,General Purpose-unrestricted,105,Burckhalter,3341,PARS Certificated,1000,Instruction,480.53,480.73,0,-0.2
10,General Fund,0,General Purpose-unrestricted,105,Burckhalter,3342,PARS Classified,1000,Instruction,377,376.46,0,0.54
10,General Fund,0,General Purpose-unrestricted,105,Burckhalter,3342,PARS Classified,2490,Other Instructional Resources,91,90.95,0,0.05
10,General Fund,0,General Purpose-unrestricted,105,Burckhalter,3401,Health & Welfare Certificated,1000,Instruction,106632.31,106632.31,0,0
10,General Fund,0,General Purpose-unrestricted,105,Burckhalter,3401,Health & Welfare Certificated,2710,"Sch Admin,principals",14542.44,14542.44,0,0
10,General Fund,0,General Purpose-unrestricted,105,Burckhalter,3402,Health & Welfare Classified,1000,Instruction,2887,0,0,2887
10,General Fund,0,General Purpose-unrestricted,105,Burckhalter,3402,Health & Welfare Classified,2490,Other Instructional Resources,3319.19,3319.19,0,0
10,General Fund,0,General Purpose-unrestricted,105,Burckhalter,3402,Health & Welfare Classified,2700,Schl Administration,11609.4,11609.4,0,0
10,General Fund,0,General Purpose-unrestricted,105,Burckhalter,3501,St Unemploy Ins Certificated,1000,Instruction,318.79,313.75,0,5.04
10,General Fund,0,General Purpose-unrestricted,105,Burckhalter,3501,St Unemploy Ins Certificated,2710,"Sch Admin,principals",58.68,58.68,0,0
10,General Fund,0,General Purpose-unrestricted,105,Burckhalter,3502,St Unemploy Ins Classified,1000,Instruction,11.8,6.68,0,5.12
10,General Fund,0,General Purpose-unrestricted,105,Burckhalter,3502,St Unemploy Ins Classified,2490,Other Instructional Resources,5.05,5.97,0,-0.92
